generation,population,mean_fitness,mean_f1,mean_f2,mean_f3,mean_f4,mean_skills,mean_entropy,unique_portfolios,condition,seed
0,20,0.8399,0.975,0.95,0.8421,0.47,4.35,0.7948,13,mendelian,42
1,30,0.8624,1.0,1.0,0.8322,0.48,4.7667,0.7582,16,mendelian,42
2,30,0.8624,1.0,1.0,0.8322,0.48,4.7667,0.7582,16,mendelian,42
3,30,0.8624,1.0,1.0,0.8322,0.48,4.7667,0.7582,16,mendelian,42
4,30,0.8522,1.0,1.0,0.8345,0.4267,4.9333,0.7204,15,mendelian,42
5,30,0.8589,1.0,1.0,0.8414,0.4533,5.0667,0.7082,15,mendelian,42
6,30,0.8589,1.0,1.0,0.8414,0.4533,5.0667,0.7082,15,mendelian,42
7,30,0.8589,1.0,1.0,0.8414,0.4533,5.0667,0.7082,15,mendelian,42
8,30,0.8444,0.9833,0.9667,0.8506,0.4467,5.0,0.7213,16,mendelian,42
9,30,0.8542,1.0,1.0,0.8713,0.4,4.7667,0.7745,14,mendelian,42
10,30,0.8542,1.0,1.0,0.8713,0.4,4.7667,0.7745,14,mendelian,42
11,30,0.8542,1.0,1.0,0.8713,0.4,4.7667,0.7745,14,mendelian,42
12,30,0.8021,0.95,0.9,0.869,0.3667,4.4,0.7467,19,mendelian,42
13,30,0.8491,1.0,1.0,0.8322,0.4133,4.7667,0.7376,15,mendelian,42
14,30,0.8491,1.0,1.0,0.8322,0.4133,4.7667,0.7376,15,mendelian,42
15,30,0.8491,1.0,1.0,0.8322,0.4133,4.7667,0.7376,15,mendelian,42
16,30,0.8302,0.9833,0.9667,0.846,0.38,4.4667,0.7326,15,mendelian,42
17,30,0.8437,1.0,1.0,0.8184,0.4,4.4667,0.7286,15,mendelian,42
18,30,0.8437,1.0,1.0,0.8184,0.4,4.4667,0.7286,15,mendelian,42
19,30,0.8437,1.0,1.0,0.8184,0.4,4.4667,0.7286,15,mendelian,42
20,30,0.8443,1.0,1.0,0.8483,0.3733,4.2667,0.7582,15,mendelian,42
21,30,0.8503,1.0,1.0,0.8782,0.3733,4.1333,0.8223,18,mendelian,42
22,30,0.8503,1.0,1.0,0.8782,0.3733,4.1333,0.8223,18,mendelian,42
23,30,0.8503,1.0,1.0,0.8782,0.3733,4.1333,0.8223,18,mendelian,42
24,30,0.846,0.9833,0.9667,0.8851,0.42,4.1667,0.8058,18,mendelian,42
25,30,0.8543,1.0,1.0,0.8851,0.3867,3.9,0.8043,17,mendelian,42
26,30,0.8543,1.0,1.0,0.8851,0.3867,3.9,0.8043,17,mendelian,42
27,30,0.8543,1.0,1.0,0.8851,0.3867,3.9,0.8043,17,mendelian,42
28,30,0.8435,1.0,1.0,0.8575,0.36,4.0667,0.8199,20,mendelian,42
29,30,0.8279,0.9833,0.9667,0.8345,0.38,3.8667,0.8173,17,mendelian,42
30,30,0.845,1.0,1.0,0.8253,0.4,4.0333,0.8461,16,mendelian,42
31,30,0.845,1.0,1.0,0.8253,0.4,4.0333,0.8461,16,mendelian,42
32,30,0.8319,0.9833,0.9667,0.8414,0.3933,3.6667,0.8248,14,mendelian,42
33,30,0.8408,0.9833,0.9667,0.8322,0.4467,3.9333,0.8001,15,mendelian,42
34,30,0.8567,1.0,1.0,0.8437,0.44,3.9333,0.833,15,mendelian,42
